name,rank2021,count2021,rank2020,count2020,rank2019,count2019,rank2018,count2018,rank2017,count2017,rank2016,count2016,rank2015,count2015,rank2014,count2014 ,rank2013 ,count2013 ,rank2012 ,count2012 ,rank2011 ,count2011 ,rank2010 ,count2010 ,rank2009 ,count2009 ,rank2008 ,count2008 ,rank2007 ,count2007 ,rank2006 ,count2006 ,rank2005 ,count2005 ,rank2004 ,count2004 ,rank2003 ,count2003 ,rank2002 ,count2002 ,rank2001 ,count2001 ,rank2000 ,count2000 ,rank1999 ,count1999 ,rank1998 ,count1998 ,rank1997 ,count1997 ,rank1996 ,count1996 ,,
Akia,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4432,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akib,[x],[x],[x],[x],[x],[x],4749,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],3865,4,4527,3,4432,3,[x],[x],4052,3,3849,3,[x],[x],2189,6,2636,4,2587,4,1889,6,2097,5,2074,5,2022,5,2020,5,,
Akiel,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3036,3,[x],[x],2901,3,[x],[x],2863,3,,
Akif,[x],[x],3334,5,2728,7,3959,4,1923,12,2804,7,2483,8,2248,9,4685,3,3039,6,3830,4,2629,7,[x],[x],2775,6,2741,6,2282,7,3208,4,2070,7,1629,9,2636,4,1202,12,1552,8,2943,3,2074,5,2859,3,1765,6,,
Akihiro,[x],[x],[x],[x],[x],[x],4749,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akikur,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3134,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akil,[x],[x],3848,4,3411,5,3412,5,3040,6,2556,8,4747,3,4632,3,3822,4,3039,6,2613,7,2941,6,2318,8,3158,5,4333,3,2538,6,3208,4,2578,5,2857,4,2254,5,[x],[x],1703,7,2425,4,1821,6,1345,9,2357,4,,
Akilan,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akim,1184,23,1273,20,2488,8,2445,8,3996,4,[x],[x],[x],[x],3895,4,3315,5,3416,5,[x],[x],3332,5,4527,3,3687,4,[x],[x],[x],[x],2418,6,[x],[x],[x],[x],[x],[x],[x],[x],2142,5,2097,5,[x],[x],[x],[x],2357,4,,
Akin,4789,3,2960,6,4702,3,4749,3,4812,3,[x],[x],[x],[x],3362,5,4685,3,[x],[x],2892,6,3865,4,4527,3,4432,3,3095,5,3385,4,[x],[x],[x],[x],[x],[x],3225,3,[x],[x],[x],[x],[x],[x],2074,5,2337,4,2863,3,,
Akinlolu,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4333,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akinola,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3651,3,3467,3,[x],[x],3134,3,[x],[x],2943,3,[x],[x],[x],[x],[x],[x],,
Akintayo,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,3830,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akintola,[x],[x],[x],[x],[x],[x],4749,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akintomiwa,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2859,3,[x],[x],,
Akintunde,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3467,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2863,3,,
Akinyemi,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2863,3,,
Akio,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4647,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akira,3017,6,2228,9,3013,6,2112,10,2734,7,2804,7,2319,9,3895,4,2216,9,2721,7,3830,4,1911,11,2544,7,2507,7,3589,4,2282,7,1456,13,1732,9,2470,5,1651,8,1746,7,2501,4,1130,12,1642,7,1345,9,1765,6,,
Akiro,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akito,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4810,3,[x],[x],[x],[x],4685,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4333,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akiva,1688,14,1935,11,1986,11,2693,7,2324,9,4023,4,2150,10,1819,12,2216,9,2270,9,2613,7,2629,7,2126,9,2097,9,2023,9,1744,10,1991,8,1878,8,1962,7,1322,11,2220,5,2142,5,2425,4,2419,4,2859,3,[x],[x],,
Akmal,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],4023,4,[x],[x],[x],[x],[x],[x],4805,3,[x],[x],2941,6,[x],[x],2775,6,4333,3,2538,6,2754,5,3009,4,2470,5,2254,5,[x],[x],[x],[x],1505,8,2419,4,1761,6,[x],[x],,
Akorede,[x],[x],4608,3,4702,3,[x],[x],3996,4,3478,5,3908,4,2459,8,[x],[x],3039,6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akos,3451,5,[x],[x],[x],[x],[x],[x],2324,9,3478,5,3908,4,3895,4,[x],[x],3987,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akram,939,32,993,28,908,32,1040,27,996,30,1050,27,1159,23,866,34,1183,21,1086,25,1209,21,1171,22,972,27,987,26,1169,20,914,26,982,22,749,30,1188,14,950,18,883,19,1096,13,1383,9,1367,9,1761,6,1591,7,,
Aksayan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4810,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3865,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Aksel,1688,14,1314,19,1253,20,1382,18,1812,13,1431,18,1902,12,2079,10,2403,8,3416,5,2892,6,3332,5,2837,6,3158,5,3589,4,4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Aksh,3990,4,[x],[x],4702,3,[x],[x],[x],[x],[x],[x],3004,6,[x],[x],4685,3,3039,6,[x],[x],[x],[x],4527,3,[x],[x],4333,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshaj,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3373,5,3895,4,1920,11,2270,9,2194,9,3865,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshan,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3416,5,4647,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshar,3017,6,3334,5,3013,6,[x],[x],3040,6,3079,6,4747,3,3362,5,[x],[x],3039,6,3300,5,4678,3,[x],[x],2775,6,2211,8,2538,6,[x],[x],[x],[x],[x],[x],[x],[x],3134,3,3036,3,2097,5,[x],[x],[x],[x],[x],[x],,
Aksharan,[x],[x],3848,4,[x],[x],3011,6,3996,4,[x],[x],3908,4,[x],[x],[x],[x],[x],[x],[x],[x],4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshat,[x],[x],[x],[x],[x],[x],[x],[x],3996,4,[x],[x],[x],[x],[x],[x],3822,4,4805,3,[x],[x],3865,4,2837,6,3158,5,3589,4,3385,4,1991,8,3009,4,[x],[x],3225,3,1949,6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshath,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshay,3451,5,3848,4,2104,10,2445,8,1627,15,2804,7,3004,6,1630,14,1617,14,1756,13,2390,8,1620,14,1358,17,1294,18,1252,18,1280,16,850,27,999,20,865,23,753,25,707,25,953,16,718,23,689,24,629,26,406,51,,
Akshayan,3990,4,[x],[x],4702,3,2693,7,4812,3,2175,10,2319,9,2690,7,4685,3,2117,10,4647,3,2400,8,4527,3,3158,5,3589,4,[x],[x],[x],[x],3651,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshaye,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2337,4,[x],[x],,
Akshayen,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3300,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshit,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3744,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akshith,[x],[x],[x],[x],4702,3,[x],[x],[x],[x],[x],[x],3908,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3589,4,4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Akwasi,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4023,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4678,3,[x],[x],[x],[x],4333,3,[x],[x],3208,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2943,3,[x],[x],[x],[x],[x],[x],,
Al,1984,11,2960,6,4702,3,2259,9,2734,7,3079,6,1902,12,1819,12,2403,8,1852,12,2892,6,2629,7,1749,12,2276,8,1440,15,1744,10,1716,10,2070,7,1132,15,1519,9,1286,11,1096,13,1850,6,1367,9,2022,5,1235,10,,
Al-Ameen,[x],[x],[x],[x],2728,7,[x],[x],3449,5,4810,3,[x],[x],3895,4,3315,5,1962,11,[x],[x],2400,8,[x],[x],4432,3,3589,4,4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Al-Amin,4789,3,3848,4,3937,4,4749,3,[x],[x],4810,3,3373,5,[x],[x],2954,6,3416,5,3830,4,2941,6,3227,5,3687,4,3589,4,3385,4,1991,8,3009,4,[x],[x],3225,3,2587,4,3036,3,2943,3,[x],[x],[x],[x],[x],[x],,
Al-Yasa,[x],[x],[x],[x],[x],[x],4749,3,[x],[x],[x],[x],4747,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Ala,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3036,3,[x],[x],[x],[x],[x],[x],[x],[x],,
Alaa,[x],[x],4608,3,3937,4,[x],[x],4812,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4647,3,3865,4,[x],[x],4432,3,[x],[x],[x],[x],[x],[x],3651,3,[x],[x],[x],[x],[x],[x],[x],[x],1850,6,2419,4,2859,3,2357,4,,
Aladdin,[x],[x],[x],[x],[x],[x],[x],[x],4812,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alagie,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4632,3,[x],[x],[x],[x],[x],[x],4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alain,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3908,4,3362,5,4685,3,[x],[x],[x],[x],[x],[x],[x],[x],4432,3,3589,4,3385,4,3849,3,[x],[x],3467,3,[x],[x],[x],[x],[x],[x],2425,4,2419,4,[x],[x],2357,4,,
Alakai,3990,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alam,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3908,4,[x],[x],[x],[x],4805,3,3300,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3208,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alameen,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alamin,[x],[x],4608,3,[x],[x],[x],[x],[x],[x],[x],[x],4747,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3744,4,3687,4,4333,3,4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2142,5,[x],[x],[x],[x],[x],[x],1337,9,,
Alan,352,127,298,154,312,152,255,199,214,246,181,312,170,346,187,302,185,302,178,330,199,263,205,249,193,253,226,204,226,193,251,150,241,144,275,115,296,98,239,124,270,103,262,108,232,132,196,167,179,182,163,209,,
Alanas,4789,3,3334,5,[x],[x],3959,4,[x],[x],[x],[x],[x],[x],4632,3,[x],[x],4805,3,4647,3,[x],[x],3744,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Aland,[x],[x],[x],[x],3411,5,2445,8,2734,7,2556,8,2483,8,2459,8,2216,9,1962,11,1688,13,1620,14,1175,21,1828,11,1252,18,1168,18,1299,15,1596,10,3467,3,2636,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alans,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4685,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alaric,2301,9,1635,14,3013,6,2259,9,1923,12,2804,7,3908,4,2459,8,2055,10,3987,4,4647,3,[x],[x],3227,5,[x],[x],3095,5,[x],[x],3849,3,3651,3,2857,4,[x],[x],[x],[x],2501,4,[x],[x],2901,3,2859,3,[x],[x],,
Alarik,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4632,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alasdair,1448,17,1379,18,1745,13,1683,14,1703,14,1187,23,1186,22,1144,23,1116,23,1507,16,1522,15,1289,19,1133,22,987,26,987,25,764,33,827,28,703,33,761,27,546,38,617,30,372,63,463,46,365,63,344,69,335,71,,
Alastair,871,35,1273,20,787,40,897,33,771,44,870,36,888,34,805,38,720,45,748,44,759,41,792,37,777,37,803,35,589,50,440,74,438,65,443,61,418,62,338,75,317,84,319,83,272,102,250,115,241,125,195,166,,
Alaz,1984,11,[x],[x],3411,5,2445,8,2512,8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alazar,[x],[x],4608,3,[x],[x],[x],[x],3996,4,4810,3,[x],[x],[x],[x],[x],[x],[x],[x],4647,3,4678,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alban,1595,15,1635,14,974,29,2259,9,2324,9,1363,19,1442,17,1819,12,1920,11,1270,20,1447,16,2199,9,1494,15,1294,18,2435,7,1892,9,2418,6,1596,10,1629,9,2254,5,1379,10,1241,11,1130,12,2074,5,1761,6,[x],[x],,
Albano,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3134,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albara,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3865,4,3744,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albaraa,[x],[x],4608,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],3822,4,4805,3,[x],[x],[x],[x],[x],[x],3687,4,[x],[x],4052,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albe,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4527,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albee,3451,5,2682,7,1986,11,3959,4,2734,7,2556,8,3908,4,[x],[x],3822,4,4805,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alben,4789,3,3848,4,3411,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alber,[x],[x],4608,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albert,58,1091,57,1148,55,1228,55,1264,59,1066,64,1028,72,933,84,778,99,633,109,579,130,493,159,353,160,348,171,294,188,258,199,220,214,174,240,136,235,137,275,101,257,109,277,98,249,119,300,87,248,119,261,110,,
Albert-James,4789,3,3334,5,[x],[x],3412,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albert-Joe,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],4810,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Alberto,1139,24,1051,26,1369,18,1235,21,906,34,1022,28,1279,20,1117,24,1339,18,1367,18,1788,12,1289,19,1265,19,1828,11,1440,15,1643,11,1991,8,1596,10,1629,9,1322,11,2220,5,2142,5,1505,8,[x],[x],2022,5,2357,4,,
Albey,2730,7,2682,7,3937,4,3959,4,3449,5,3478,5,3373,5,3895,4,[x],[x],4805,3,3300,5,[x],[x],[x],[x],3687,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albi,676,53,496,77,655,53,497,79,453,92,914,33,996,29,1223,21,1294,19,1270,20,1522,15,1911,11,1568,14,2276,8,1506,14,2870,5,1991,8,1878,8,2470,5,1799,7,1286,11,[x],[x],[x],[x],2074,5,2859,3,[x],[x],,
Albie,32,1729,35,1473,45,1400,52,1284,57,1114,88,788,107,601,117,534,139,424,188,297,218,226,288,158,291,148,341,113,400,90,421,79,426,68,408,68,490,49,722,26,728,24,624,29,750,22,716,23,914,16,853,17,,
Albie-Beau,4789,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-George,3017,6,2682,7,2728,7,3011,6,2172,10,4023,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-Jack,3990,4,4608,3,2266,9,[x],[x],3996,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-James,1391,18,2404,8,1986,11,2259,9,2172,10,4810,3,[x],[x],3362,5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-Jax,3990,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-Jay,2493,8,4608,3,2728,7,3412,5,3996,4,4810,3,3908,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-Joe,[x],[x],[x],[x],4702,3,[x],[x],3996,4,4023,4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-John,3017,6,[x],[x],3937,4,3011,6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
Albie-Lee,2301,9,2404,8,2266,9,3412,5,3449,5,4023,4,4747,3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,
